date,open,high,low,close,volume
2025-08-14,8000.0,8000.0,7710.0,7860.0,1
2025-08-15,8000.0,8000.0,7710.0,7710.0,2
2025-08-18,8000.0,8000.0,7870.0,7910.0,6
2025-08-19,8200.0,8200.0,7900.0,7920.0,3
2025-08-20,8300.0,8300.0,7770.0,8000.0,3
2025-08-21,7730.0,7900.0,7730.0,7730.0,1
2025-08-22,7750.0,7900.0,7750.0,7750.0,5
2025-08-25,7800.0,7880.0,7750.0,7830.0,3
2025-08-26,7830.0,8000.0,7760.0,7830.0,7
2025-08-27,7830.0,8000.0,7800.0,8000.0,1
2025-08-28,7800.0,7950.0,7800.0,7880.0,1
2025-08-29,7900.0,8000.0,7800.0,7880.0,3
2025-09-02,7820.0,8000.0,7750.0,8000.0,5
2025-09-03,7970.0,8040.0,7750.0,7840.0,23
2025-09-04,7900.0,8000.0,7750.0,7800.0,5
2025-09-05,7750.0,8000.0,7750.0,7800.0,1
2025-09-08,7750.0,8190.0,7750.0,7830.0,5
2025-09-09,7800.0,8000.0,7800.0,8000.0,3
2025-09-10,8000.0,8000.0,7800.0,8000.0,1
2025-09-11,8020.0,8050.0,7800.0,8010.0,7
2025-09-12,8000.0,8000.0,7900.0,8000.0,1
2025-09-15,7910.0,8000.0,7840.0,8000.0,18
2025-09-16,8010.0,8700.0,7850.0,8050.0,11
2025-09-17,8360.0,8500.0,7910.0,8020.0,7
2025-09-18,8250.0,8300.0,7920.0,7950.0,6
2025-09-19,7840.0,8100.0,7600.0,8100.0,21
2025-09-22,7820.0,9300.0,7790.0,8500.0,348
2025-09-23,8600.0,9120.0,8490.0,9120.0,278
2025-09-24,7930.0,7980.0,970.0,1130.0,15170
2025-09-25,1500.0,1550.0,820.0,880.0,28395
2025-09-26,880.0,900.0,780.0,830.0,8518
2025-09-29,800.0,800.0,700.0,720.0,3606
2025-09-30,750.0,780.0,720.0,750.0,1700
2025-10-01,750.0,820.0,740.0,780.0,2386
2025-10-02,820.0,820.0,730.0,810.0,1947
2025-10-03,750.0,850.0,750.0,780.0,2814
2025-10-06,800.0,830.0,720.0,780.0,1773
2025-10-07,770.0,780.0,730.0,750.0,1155
2025-10-08,770.0,820.0,740.0,760.0,1511
2025-10-09,800.0,1050.0,760.0,910.0,10995
2025-10-10,980.0,980.0,730.0,780.0,6050
2025-10-13,760.0,790.0,680.0,780.0,1877
2025-10-14,740.0,800.0,700.0,750.0,2494
2025-10-15,600.0,680.0,570.0,580.0,3026
2025-10-16,600.0,730.0,570.0,590.0,4994
2025-10-17,410.0,460.0,370.0,400.0,2758
2025-10-20,400.0,400.0,350.0,360.0,1342
2025-10-21,372.0,430.0,350.0,392.0,28675
2025-10-22,490.0,519.0,425.0,490.0,19720
2025-10-23,435.0,443.0,402.0,430.0,2133
2025-10-24,402.0,412.0,278.5,330.0,3975
2025-10-27,330.0,365.0,309.0,349.0,1505
2025-10-28,349.0,354.5,335.0,347.0,635
2025-10-29,334.0,409.0,334.0,368.0,1518
2025-10-30,369.0,377.0,360.0,376.0,535
2025-10-31,363.0,365.0,350.0,359.0,496
2025-11-03,342.0,357.70001220703125,328.0,328.0,765
2025-11-04,322.0,369.0,320.0,365.0,2383
2025-11-05,346.0,360.0,336.0,345.0,384
2025-11-06,345.0,364.20001220703125,340.0,363.0,346
2025-11-07,359.0,385.0,344.5,366.0,408
2025-11-10,356.0,394.0,356.0,386.0,402
2025-11-11,384.0,409.0,376.0,409.0,419
2025-11-12,410.0,448.0,410.0,444.0,423
2025-11-13,440.0,468.0,426.0,440.0,303
2025-11-14,433.0,438.6000061035156,403.0,428.0,88
2025-11-17,416.0,417.0,396.0,409.0,229
2025-11-18,405.0,405.0,376.0,390.3999938964844,198
2025-11-19,378.0,405.3999938964844,377.0,395.0,298
2025-11-20,389.0,401.0,384.0,384.0,174
2025-11-21,365.0,450.0,327.0,432.0,1658
2025-11-24,413.0,445.0,386.79998779296875,414.0,371
2025-11-25,401.0,435.0,392.0,435.0,255
2025-11-26,452.0,520.0,427.8999938964844,519.0,6991
2025-11-28,505.0,664.0,495.0,609.0,7856
2025-12-01,550.0,836.0,529.0,707.0,16125
2025-12-02,707.0,741.0,630.0,665.0,11855
2025-12-03,605.0,712.0,426.0,426.0,11276
2025-12-04,407.0,599.0,406.0,530.0,6995
2025-12-05,490.0,550.0,480.0,523.0,6713
2025-12-08,492.0,541.0,475.0,485.0,56107
2025-12-09,485.0,560.0,420.0,557.0,11223
2025-12-10,178.0,178.0,16.100000381469727,19.0,1309359
2025-12-11,23.200000762939453,25.0,16.299999237060547,16.799999237060547,1762625
2025-12-12,15.300000190734863,15.399999618530273,10.300000190734863,10.800000190734863,1275926
2025-12-15,13.100000381469727,13.5,6.0,6.5,3245572
