Date,Open,High,Low,Close,Volume,SharesOutstanding,Turnover
2018-03-29,9360.0,11000.0,9000.0,9400.0,74.0,,
2018-04-02,9900.0,9900.0,8760.0,9000.0,15.0,,
2018-04-03,9000.0,9000.0,7880.0,8200.0,21.0,,
2018-04-04,7900.0,8500.0,7680.0,7680.0,19.0,,
2018-04-05,7900.0,8360.0,7900.0,8274.0,9.0,,
2018-04-06,9000.0,11780.0,8628.0,10900.0,121.0,,
2018-04-09,12460.0,12460.0,10000.0,10100.0,120.0,,
2018-04-10,10060.0,11000.0,9440.0,9440.0,28.0,,
2018-04-11,10280.0,10600.0,9760.0,10180.0,33.0,,
2018-04-12,10180.0,10778.0,10000.0,10040.0,12.0,,
2018-04-13,10020.0,10480.0,10020.0,10260.0,12.0,,
2018-04-16,10300.0,10500.0,9140.0,9700.0,14.0,,
2018-04-17,9820.0,10100.0,9620.0,9620.0,6.0,,
2018-04-18,9600.0,9960.0,8700.0,9220.0,7.0,,
2018-04-19,9300.0,9300.0,8006.0,8500.0,9.0,,
2018-04-20,8000.0,8600.0,8000.0,8560.0,13.0,,
2018-04-23,8580.0,9056.0,8530.0,8890.0,14.0,,
2018-04-24,9000.0,10478.0,8820.0,9960.0,42.0,,
2018-04-25,10500.0,11880.0,10240.0,11780.0,197.0,,
2018-04-26,11800.0,36780.0,11780.0,22000.0,1967.0,,
2018-04-27,28000.0,35800.0,24100.0,30420.0,2420.0,,
2018-04-30,36000.0,38900.0,29000.0,30980.0,1093.0,,
2018-05-01,28740.0,28960.0,25620.0,26400.0,391.0,,
2018-05-02,25000.0,31760.0,24732.0,28000.0,443.0,,
2018-05-03,28020.0,30000.0,26340.0,28740.0,85.0,,
2018-05-04,28740.0,29300.0,27794.0,28400.0,57.0,,
2018-05-07,30000.0,30000.0,27100.0,27600.0,53.0,,
2018-05-08,30000.0,36880.0,28420.0,31800.0,371.0,,
2018-05-09,34000.0,34000.0,28600.0,30740.0,87.0,,
2018-05-10,30160.0,30174.0,26500.0,26660.0,89.0,,
2018-05-11,26260.0,26260.0,21400.0,21740.0,159.0,,
2018-05-14,21180.0,21600.0,16340.0,17600.0,218.0,,
2018-05-15,17480.0,21520.0,17040.0,21160.0,169.0,,
2018-05-16,21480.0,23880.0,20000.0,23560.0,122.0,,
2018-05-17,23800.0,25338.0,21120.0,23180.0,132.0,,
2018-05-18,23760.0,24000.0,21260.0,21580.0,17.0,,
2018-05-21,21440.0,21440.0,19000.0,20440.0,35.0,,
2018-05-22,20000.0,20640.0,20000.0,20200.0,12.0,,
2018-05-23,20020.0,20600.0,19320.0,19600.0,46.0,,
2018-05-24,19720.0,20200.0,19144.0,20040.0,19.0,,
2018-05-25,20000.0,20000.0,17520.0,17720.0,48.0,,
2018-05-29,17720.0,19160.0,17720.0,18580.0,20.0,,
2018-05-30,18780.0,19260.0,17800.0,19020.0,34.0,,
2018-05-31,21820.0,24480.0,20580.0,20980.0,125.0,,
2018-06-01,21100.0,22838.0,21100.0,21500.0,60.0,,
2018-06-04,21980.0,22428.0,20000.0,21720.0,48.0,,
2018-06-05,21520.0,21700.0,20690.0,21540.0,22.0,,
2018-06-06,21120.0,22400.0,21120.0,21320.0,29.0,,
2018-06-07,21300.0,22400.0,21300.0,21380.0,18.0,,
2018-06-08,21760.0,21878.0,19562.0,20660.0,36.0,,
2018-06-11,20540.0,21000.0,19240.0,19340.0,53.0,,
2018-06-12,19340.0,19980.0,18400.0,18700.0,21.0,,
2018-06-13,18800.0,18840.0,17800.0,17800.0,33.0,,
2018-06-14,17940.0,19390.0,16040.0,16440.0,53.0,,
2018-06-15,16500.0,17080.0,15360.0,15640.0,49.0,,
2018-06-18,15560.0,16480.0,15280.0,15600.0,21.0,,
2018-06-19,15560.0,15560.0,12140.0,13800.0,62.0,,
2018-06-20,13460.0,15284.0,13000.0,14840.0,28.0,,
