Date,Open,High,Low,Close,Volume,SharesOutstanding,Turnover
2020-09-25,1406.25,1406.25,1012.5,1102.5,1861.0,,
2020-09-28,1125.0,1125.0,963.75,1050.0,352.0,,
2020-09-29,1068.75,1207.5,1031.25,1102.5,399.0,,
2020-09-30,1207.5,1290.75,1087.5,1196.25,876.0,,
2020-10-01,1181.25,1181.25,1098.75,1128.75,287.0,,
2020-10-02,1143.75,1143.75,1035.0,1053.75,267.0,,
2020-10-05,1102.5,1117.5,1042.5,1057.5,129.0,,
2020-10-06,1102.5,1102.5,1031.25,1038.75,155.0,,
2020-10-07,1042.5,1181.25,1027.5,1117.5,465.0,,
2020-10-08,1125.0,1425.0,1069.875,1368.75,6344.0,,
2020-10-09,1293.75,1294.125,1147.5,1207.5,1537.0,,
2020-10-12,1218.75,1218.75,1119.375,1147.5,670.0,,
2020-10-13,1128.75,1143.75,1068.75,1102.5,658.0,,
2020-10-14,1117.5,1155.0,1106.25,1125.0,323.0,,
2020-10-15,1140.0,1218.75,1106.25,1181.25,461.0,,
2020-10-16,1170.0,1192.5,1125.0,1177.5,673.0,,
2020-10-19,1177.5,1350.0,1143.75,1222.5,1652.0,,
2020-10-20,1237.5,1335.0,1143.75,1252.5,2362.0,,
2020-10-21,1275.0,1275.0,1185.0,1211.25,395.0,,
2020-10-22,1200.0,1241.25,1106.25,1140.0,876.0,,
2020-10-23,1145.625,1158.75,1102.5,1140.0,454.0,,
2020-10-26,1440.0,1650.0,1200.0,1282.5,58292.0,,
2020-10-27,1155.0,1218.75,1117.5,1185.0,2500.0,,
2020-10-28,1140.0,1140.0,1053.75,1083.75,1081.0,,
2020-10-29,1068.75,1097.25,1057.5,1087.5,438.0,,
2020-10-30,1132.5,1132.5,1068.75,1095.0,579.0,,
2020-11-02,1076.25,1106.25,1068.75,1102.5,264.0,,
2020-11-03,1098.75,1106.25,1076.25,1083.75,320.0,,
2020-11-04,1098.75,1098.75,1065.0,1080.0,258.0,,
2020-11-05,1061.25,1095.0,1050.0,1087.5,402.0,,
2020-11-06,1050.0,1083.75,1031.25,1053.75,533.0,,
2020-11-09,1121.25,1121.25,978.75,1023.75,913.0,,
2020-11-10,1005.0,1211.25,975.0,1087.5,2146.0,,
2020-11-11,1087.5,1110.0,1042.5,1050.0,345.0,,
2020-11-12,1057.5,1080.0,1035.0,1061.25,198.0,,
2020-11-13,1050.0,1068.75,1038.75,1042.5,319.0,,
2020-11-16,1061.25,1065.0,1031.25,1038.75,375.0,,
2020-11-17,1050.0,1061.25,1031.25,1046.25,239.0,,
2020-11-18,1057.5,1061.25,993.75,1031.25,830.0,,
2020-11-19,1050.0,1061.25,1008.75,1035.0,890.0,,
2020-11-20,1038.75,1038.75,1016.25,1025.25,206.0,,
2020-11-23,1035.0,1039.5,1001.25,1023.75,498.0,,
2020-11-24,1012.5,1012.5,960.0,986.25,642.0,,
2020-11-25,1012.5,1012.5,971.25,990.0,217.0,,
2020-11-27,997.5,1031.25,980.625,1005.0,399.0,,
2020-11-30,1053.75,1106.25,1012.5,1087.5,2243.0,,
2020-12-01,1087.5,1113.75,1031.25,1087.5,439.0,,
2020-12-02,1072.5,1072.5,1016.25,1046.25,454.0,,
2020-12-03,1050.0,1053.75,1020.0,1035.0,194.0,,
2020-12-04,1027.5,1046.25,1008.75,1027.5,185.0,,
2020-12-07,1050.0,1271.25,1031.25,1215.0,4333.0,,
2020-12-08,1207.5,1224.375,1132.5,1200.0,974.0,,
2020-12-09,1177.5,2812.5,1143.75,2148.75,83937.0,,
2020-12-10,1533.0,1920.0,1447.875,1578.75,27771.0,,
2020-12-11,1402.5,1563.75,1286.25,1312.5,3103.0,,
2020-12-14,1312.5,1365.0,1192.5,1215.0,2303.0,,
2020-12-15,1200.0,1593.75,1170.0,1383.75,18235.0,,
2020-12-16,1350.0,1473.75,1248.75,1436.25,2156.0,,
2020-12-17,1398.75,1399.5,1218.75,1248.75,1754.0,,
2020-12-18,1275.0,1327.5,1237.5,1237.5,844.0,,
2020-12-21,1237.5,1267.5,1181.25,1215.0,769.0,,
2020-12-22,1200.0,1215.0,1128.75,1162.5,954.0,,
2020-12-23,1181.25,1268.625,1166.25,1222.5,1369.0,,
2020-12-24,1248.75,1260.0,1200.0,1229.25,272.0,,
2020-12-28,1230.0,1376.25,1173.75,1260.0,1774.0,,
2020-12-29,1275.0,1300.875,1162.5,1252.5,1469.0,,
2020-12-30,1275.0,1366.875,1237.5,1308.75,2225.0,,
2020-12-31,1293.75,1342.5,1207.5,1267.5,1517.0,,
2021-01-04,1267.5,1297.5,1218.75,1245.0,1289.0,,
2021-01-05,1266.375,1290.0,1222.5,1278.75,847.0,,
2021-01-06,1293.75,1321.875,1215.0,1226.25,1027.0,,
2021-01-07,1230.0,1395.0,1230.0,1290.0,1725.0,,
2021-01-08,1278.75,1327.5,1230.0,1237.5,1589.0,,
2021-01-11,2658.75,2775.0,1923.75,2010.0,135493.0,,
2021-01-12,1785.375,1987.5,1725.0,1987.5,6320.0,,
2021-01-13,1852.5,1875.0,1736.25,1747.5,3069.0,,
2021-01-14,1781.25,1822.125,1612.5,1683.75,2736.0,,
2021-01-15,1676.25,1852.5,1593.75,1743.75,3094.0,,
2021-01-19,1706.25,1725.0,1608.75,1635.0,1443.0,,
2021-01-20,1680.0,1706.25,1590.0,1680.0,1030.0,,
2021-01-21,1706.25,1931.25,1638.75,1882.5,3091.0,,
2021-01-22,1890.0,1890.0,1710.0,1725.0,1110.0,,
2021-01-25,1777.5,1927.5,1612.5,1916.25,5358.0,,
2021-01-26,2141.25,2433.75,1987.5,2231.25,9024.0,,
2021-01-27,1976.25,2062.5,1841.25,1920.0,2518.0,,
2021-01-28,1893.75,1935.0,1721.25,1785.0,1203.0,,
2021-01-29,1800.0,1875.0,1732.5,1755.0,1104.0,,
2021-02-01,1777.5,2055.0,1766.25,1983.75,3556.0,,
2021-02-02,1957.5,2201.25,1863.75,1991.25,5663.0,,
2021-02-03,2081.25,2160.0,1916.25,2025.0,4225.0,,
2021-02-04,2043.75,2043.75,1916.25,1935.0,1090.0,,
2021-02-05,1950.0,2130.0,1931.25,2073.75,2407.0,,
2021-02-08,2343.75,2992.5,2257.5,2805.0,10246.0,,
2021-02-09,2542.5,2613.75,2358.75,2482.5,9691.0,,
2021-02-10,2508.75,2531.25,2306.25,2445.0,3303.0,,
2021-02-11,2550.0,2906.25,2460.0,2707.5,7592.0,,
2021-02-12,2696.25,3266.25,2668.875,2805.0,7995.0,,
2021-02-16,3026.25,3063.75,2707.5,2891.25,3245.0,,
2021-02-17,2812.5,3205.125,2733.75,3165.0,4119.0,,
2021-02-18,3041.25,3063.75,2643.75,2685.0,2151.0,,
2021-02-19,2778.75,2850.0,2407.5,2550.0,3403.0,,
2021-02-22,2478.75,2568.75,1991.25,2066.25,4073.0,,
2021-02-23,1950.0,2029.125,1762.5,1901.25,2089.0,,
2021-02-24,2006.25,2377.5,1989.75,2118.75,2423.0,,
2021-02-25,2137.5,2250.0,1991.25,2025.0,1555.0,,
2021-02-26,2002.5,2023.125,1856.25,1912.5,965.0,,
2021-03-01,1987.5,2081.25,1901.25,1968.75,1840.0,,
2021-03-02,1946.25,1996.125,1891.875,1912.5,812.0,,
2021-03-03,1912.5,1950.0,1781.25,1811.25,943.0,,
2021-03-04,1740.0,1833.75,1466.25,1515.0,2330.0,,
2021-03-05,1533.75,1650.0,1380.0,1631.25,2571.0,,
