Date,Open,High,Low,Close,Volume,SharesOutstanding,Turnover
2021-03-18,2442.5,2475.0,2442.5,2450.0,1632.0,,
2021-03-19,2487.5,2493.25,2450.0,2452.5,189.0,,
2021-03-22,2455.0,2455.0,2445.0,2450.0,1040.0,,
2021-03-23,2450.0,2452.5,2437.5,2447.5,1138.0,,
2021-03-24,2447.5,2452.5,2442.5,2442.5,672.0,,
2021-03-25,2430.0,2450.0,2417.5,2450.0,178.0,,
2021-03-26,2445.0,2450.0,2439.75,2450.0,409.0,,
2021-03-29,2450.0,2455.0,2450.0,2452.5,2690.0,,
2021-03-30,2452.5,2455.0,2442.5,2455.0,263.0,,
2021-03-31,2455.0,2455.0,2445.0,2452.5,301.0,,
2021-04-01,2452.75,2455.25,2452.5,2452.75,167.0,,
2021-04-05,2452.5,2472.5,2452.5,2467.5,191.0,,
2021-04-06,2450.0,2467.5,2450.0,2462.5,110.0,,
2021-04-07,2462.5,2467.5,2462.5,2465.0,446.0,,
2021-04-08,2465.0,2472.5,2465.0,2470.0,647.0,,
2021-04-09,2465.0,2477.5,2465.0,2467.5,531.0,,
2021-04-12,2468.75,2470.0,2468.75,2470.0,3.0,,
2021-04-13,2471.5,2477.5,2467.5,2477.5,55.0,,
2021-04-14,2477.5,2480.0,2477.5,2477.5,299.0,,
2021-04-15,2481.25,2481.25,2477.5,2477.5,26.0,,
2021-04-16,2477.5,2482.5,2477.5,2482.5,212.0,,
2021-04-19,2482.5,2485.0,2482.5,2482.5,42.0,,
2021-04-20,2485.0,2487.5,2475.0,2475.0,1090.0,,
2021-04-21,2475.0,2475.0,2472.5,2472.5,64.0,,
2021-04-22,2477.5,2483.75,2472.5,2477.5,11.0,,
2021-04-23,2485.0,2485.0,2477.5,2477.5,23.0,,
2021-04-26,2485.0,2485.0,2475.0,2477.5,18.0,,
2021-04-27,2477.5,2482.5,2475.0,2480.0,21.0,,
2021-04-28,2479.0,2485.0,2472.5,2482.5,50.0,,
2021-04-29,2482.5,2485.0,2477.5,2485.0,21.0,,
2021-04-30,2485.0,2485.0,2480.0,2485.0,70.0,,
2021-05-03,2485.0,2485.25,2477.5,2477.5,194.0,,
2021-05-04,2477.5,2487.5,2477.5,2487.5,4.0,,
2021-05-05,2485.0,2487.5,2485.0,2485.0,160.0,,
2021-05-06,2485.0,2485.0,2480.0,2482.5,214.0,,
2021-05-07,2490.0,2490.0,2477.5,2485.0,17.0,,
2021-05-10,2483.0,2490.0,2477.5,2477.5,6.0,,
2021-05-11,2475.0,2482.5,2475.0,2475.0,9.0,,
2021-05-12,2475.0,2475.0,2475.0,2475.0,0.0,,
2021-05-13,2472.5,2473.75,2460.0,2469.0,58.0,,
2021-05-14,2465.0,2465.25,2465.0,2465.0,12.0,,
2021-05-17,2460.0,2472.5,2455.0,2470.0,44.0,,
2021-05-18,2460.0,2469.0,2460.0,2465.25,7.0,,
2021-05-19,2457.0,2467.5,2457.0,2467.5,28.0,,
2021-05-20,2460.0,2462.5,2452.5,2455.0,94.0,,
2021-05-21,2455.0,2463.5,2442.5,2445.0,1092.0,,
2021-05-24,2445.0,2460.0,2445.0,2447.5,31.0,,
2021-05-25,2453.75,2465.0,2450.0,2460.0,72.0,,
2021-05-26,2460.0,2470.0,2460.0,2470.0,69.0,,
2021-05-27,2470.0,2470.0,2467.5,2467.5,15.0,,
2021-05-28,2470.0,2470.0,2470.0,2470.0,4.0,,
2021-06-01,2470.0,2472.5,2470.0,2470.0,20.0,,
2021-06-02,2470.0,2472.5,2470.0,2470.0,12.0,,
2021-06-03,2470.0,2475.0,2470.0,2472.5,15.0,,
2021-06-04,2475.0,2475.5,2475.0,2475.0,18.0,,
2021-06-07,2475.0,2475.75,2473.25,2475.0,9.0,,
2021-06-08,2475.0,2477.5,2475.0,2477.5,60.0,,
2021-06-09,2477.5,2480.0,2477.5,2477.5,97.0,,
2021-06-10,2477.5,2485.0,2477.5,2485.0,54.0,,
2021-06-11,2487.5,2490.0,2485.0,2485.0,93.0,,
2021-06-14,2489.5,2490.0,2485.0,2485.0,67.0,,
2021-06-15,2467.5,2485.0,2462.25,2482.5,75.0,,
2021-06-16,2477.5,2482.5,2472.5,2472.5,6.0,,
2021-06-17,2472.5,2472.5,2472.5,2472.5,0.0,,
2021-06-18,2475.0,2477.5,2472.5,2472.5,7.0,,
2021-06-21,2477.5,2478.25,2457.5,2475.0,112.0,,
2021-06-22,2475.0,2480.0,2460.0,2480.0,34.0,,
2021-06-23,2480.0,2480.0,2480.0,2480.0,0.0,,
2021-06-24,2473.25,2473.25,2460.0,2472.5,16.0,,
2021-06-25,2472.5,2472.5,2472.5,2472.5,0.0,,
2021-06-28,2473.75,2473.75,2465.0,2472.5,6.0,,
2021-06-29,2472.5,2472.5,2470.0,2472.5,13.0,,
2021-06-30,2475.0,2477.5,2475.0,2477.5,1.0,,
2021-07-01,2460.0,2460.0,2460.0,2460.0,6.0,,
2021-07-02,2472.5,2475.0,2460.0,2475.0,15.0,,
2021-07-06,2475.0,2475.0,2463.75,2463.75,10.0,,
2021-07-07,2470.0,2475.0,2462.5,2462.5,41.0,,
2021-07-08,2470.0,2475.0,2470.0,2475.0,109.0,,
2021-07-09,2475.0,2475.0,2467.5,2475.0,219.0,,
2021-07-12,2475.0,2475.0,2475.0,2475.0,0.0,,
2021-07-13,2475.0,2475.0,2475.0,2475.0,0.0,,
2021-07-14,2475.0,2475.0,2467.5,2470.0,196.0,,
2021-07-15,2470.0,2470.0,2470.0,2470.0,14.0,,
2021-07-16,2470.0,2470.0,2470.0,2470.0,1.0,,
2021-07-19,2470.0,2472.0,2467.5,2467.5,3.0,,
2021-07-20,2467.5,2470.0,2467.5,2467.5,204.0,,
2021-07-21,2462.5,2462.5,2462.5,2462.5,3.0,,
2021-07-22,2462.5,2462.5,2462.5,2462.5,0.0,,
2021-07-23,2452.5,2461.25,2452.5,2461.25,2.0,,
2021-07-26,2460.0,2462.5,2460.0,2462.5,30.0,,
2021-07-27,2467.5,2470.0,2455.0,2455.0,5.0,,
2021-07-28,2459.0,2459.0,2459.0,2459.0,2.0,,
2021-07-29,2459.0,2459.0,2459.0,2459.0,0.0,,
2021-07-30,2459.75,2459.75,2455.0,2457.5,8.0,,
2021-08-02,2457.5,2460.0,2457.5,2457.5,7.0,,
2021-08-03,2462.5,2470.0,2462.5,2470.0,37.0,,
2021-08-04,2467.5,2471.25,2467.5,2471.25,12.0,,
2021-08-05,2474.0,2474.0,2474.0,2474.0,2.0,,
2021-08-06,2467.5,2470.0,2467.5,2470.0,16.0,,
2021-08-09,2467.5,2470.0,2467.5,2470.0,6.0,,
2021-08-10,2470.0,2470.0,2470.0,2470.0,1.0,,
2021-08-11,2467.5,2470.0,2467.5,2467.5,25.0,,
2021-08-12,2465.0,2470.0,2465.0,2467.5,1247.0,,
2021-08-13,2467.5,2467.5,2467.5,2467.5,2.0,,
2021-08-16,2465.0,2465.0,2465.0,2465.0,1.0,,
2021-08-17,2462.5,2462.5,2462.5,2462.5,1.0,,
2021-08-18,2480.0,2480.0,2480.0,2480.0,1.0,,
2021-08-19,2465.0,2475.0,2465.0,2471.5,14.0,,
2021-08-20,2471.25,2471.25,2465.0,2470.0,12.0,,
2021-08-23,2470.0,2470.0,2470.0,2470.0,0.0,,
2021-08-24,2470.0,2470.0,2470.0,2470.0,0.0,,
2021-08-25,2470.0,2470.0,2470.0,2470.0,0.0,,
2021-08-26,2470.0,2477.5,2470.0,2475.0,55.0,,
2021-08-27,2475.0,2480.0,2475.0,2475.0,38.0,,
2021-08-30,2472.5,2475.0,2470.0,2475.0,49.0,,
2021-08-31,2475.0,2482.5,2470.0,2480.0,181.0,,
2021-09-01,2480.0,2480.0,2480.0,2480.0,0.0,,
2021-09-02,2480.0,2482.5,2480.0,2482.5,28.0,,
2021-09-03,2480.0,2482.5,2480.0,2482.5,9.0,,
2021-09-07,2472.5,2485.0,2470.0,2485.0,45.0,,
2021-09-08,2485.0,2485.0,2485.0,2485.0,0.0,,
2021-09-09,2485.0,2485.0,2475.0,2485.0,16.0,,
2021-09-10,2485.0,2485.0,2475.0,2485.0,61.0,,
2021-09-13,2485.0,2485.0,2485.0,2485.0,2.0,,
2021-09-14,2486.25,2487.5,2485.0,2487.5,10.0,,
2021-09-15,2487.5,2497.5,2480.0,2497.5,183.0,,
2021-09-16,2492.5,2495.0,2480.0,2492.5,22.0,,
2021-09-17,2492.75,2495.0,2492.5,2492.5,6.0,,
2021-09-20,2492.5,2495.0,2492.5,2495.0,22.0,,
2021-09-21,2495.0,2500.0,2495.0,2500.0,78.0,,
2021-09-22,2484.0,2500.0,2484.0,2500.0,2.0,,
2021-09-23,2491.75,2497.5,2491.75,2497.5,2.0,,
2021-09-24,2497.5,2502.5,2497.5,2501.25,122.0,,
2021-09-27,2502.5,2502.5,2502.5,2502.5,2.0,,
2021-09-28,2502.5,2502.75,2502.5,2502.5,210.0,,
2021-09-29,2502.5,2505.0,2502.5,2505.0,231.0,,
2021-09-30,2505.0,2510.0,2500.0,2510.0,244.0,,
2021-10-01,2510.0,2510.0,2510.0,2510.0,4.0,,
2021-10-04,2510.0,2510.0,2510.0,2510.0,0.0,,
2021-10-05,2505.0,2505.0,2502.5,2502.5,99.0,,
2021-10-06,2502.5,2502.5,2502.5,2502.5,4.0,,
2021-10-07,2505.0,2505.0,2505.0,2505.0,10.0,,
2021-10-08,2495.0,2505.0,2495.0,2505.0,1158.0,,
2021-10-11,2505.0,2505.0,2505.0,2505.0,6.0,,
2021-10-12,2495.0,2495.0,2480.0,2492.5,144.0,,
2021-10-13,2492.5,2502.5,2490.0,2502.5,220.0,,
2021-10-14,2487.5,2495.0,2487.5,2495.0,2.0,,
2021-10-15,2495.0,2495.0,2495.0,2495.0,0.0,,
2021-10-18,2495.0,2497.5,2495.0,2495.0,30.0,,
2021-10-19,2495.0,2495.0,2495.0,2495.0,0.0,,
2021-10-20,2485.75,2485.75,2485.75,2485.75,11.0,,
2021-10-21,2493.75,2494.0,2493.75,2494.0,3.0,,
2021-10-22,2497.5,2533.5,2487.25,2500.0,990.0,,
2021-10-25,2495.0,2517.0,2494.0,2515.0,132.0,,
2021-10-26,2527.5,2527.5,2492.5,2500.0,38.0,,
2021-10-27,2507.5,2507.5,2497.5,2497.75,11.0,,
2021-10-28,2505.0,2505.0,2495.0,2497.5,21.0,,
2021-10-29,2496.25,2499.0,2496.25,2496.25,8.0,,
2021-11-01,2502.5,2502.5,2495.0,2495.0,20.0,,
2021-11-02,2502.5,2517.5,2502.5,2510.0,30.0,,
2021-11-03,2492.5,2500.0,2490.0,2497.5,28.0,,
2021-11-04,2491.25,2502.5,2491.25,2502.5,44.0,,
2021-11-05,2500.0,2506.25,2500.0,2502.5,34.0,,
2021-11-08,2505.0,2506.25,2505.0,2506.25,20.0,,
2021-11-09,2492.5,2502.5,2492.5,2502.5,163.0,,
2021-11-10,2500.0,2500.0,2500.0,2500.0,1.0,,
2021-11-11,2500.0,2500.0,2500.0,2500.0,8.0,,
2021-11-12,2503.75,2503.75,2500.0,2500.0,29.0,,
2021-11-15,2497.5,2497.5,2497.5,2497.5,1.0,,
2021-11-16,2497.5,2500.0,2497.5,2500.0,4.0,,
2021-11-17,2502.5,2502.5,2497.5,2500.0,9.0,,
2021-11-18,2500.0,2500.0,2500.0,2500.0,1.0,,
2021-11-19,2500.0,2502.5,2500.0,2500.0,32.0,,
2021-11-22,2497.5,2502.5,2497.5,2502.5,260.0,,
2021-11-23,2507.5,2507.5,2507.5,2507.5,9.0,,
2021-11-24,2507.5,2507.5,2507.5,2507.5,2.0,,
2021-11-26,2507.5,2507.5,2497.5,2507.5,4.0,,
2021-11-29,2505.0,2505.0,2505.0,2505.0,2.0,,
2021-11-30,2505.0,2517.5,2504.75,2517.5,44.0,,
2021-12-01,2510.0,2510.0,2510.0,2510.0,3.0,,
2021-12-02,2507.5,2507.5,2497.5,2497.5,221.0,,
2021-12-03,2497.5,2497.5,2497.5,2497.5,0.0,,
2021-12-06,2500.0,2500.0,2500.0,2500.0,18.0,,
2021-12-07,2505.0,2505.0,2500.0,2505.0,81.0,,
2021-12-08,2500.0,2500.0,2500.0,2500.0,16.0,,
2021-12-09,2500.0,2500.0,2497.5,2497.5,20.0,,
2021-12-10,2497.5,2498.75,2497.5,2497.5,9.0,,
2021-12-13,2497.5,2497.5,2497.5,2497.5,0.0,,
2021-12-14,2499.75,2500.0,2497.5,2500.0,4.0,,
2021-12-15,2500.0,2500.0,2500.0,2500.0,0.0,,
2021-12-16,2500.0,2500.0,2500.0,2500.0,0.0,,
2021-12-17,2500.0,2500.0,2500.0,2500.0,0.0,,
2021-12-20,2497.5,2497.5,2497.5,2497.5,447.0,,
2021-12-21,2512.5,2512.5,2512.5,2512.5,1.0,,
2021-12-22,2512.5,2512.5,2512.5,2512.5,0.0,,
2021-12-23,2497.5,2500.0,2497.5,2497.5,19.0,,
2021-12-27,2497.5,2497.5,2497.5,2497.5,0.0,,
2021-12-28,2497.5,2497.5,2497.5,2497.5,0.0,,
2021-12-29,2500.0,2503.75,2500.0,2500.0,100.0,,
2021-12-30,2512.5,2512.5,2500.0,2500.0,2.0,,
2021-12-31,2505.25,2510.0,2503.75,2510.0,434.0,,
2022-01-03,2508.75,2508.75,2505.0,2505.0,22.0,,
2022-01-04,2510.0,2510.0,2502.5,2502.5,21.0,,
2022-01-05,2502.5,2502.5,2502.5,2502.5,1.0,,
2022-01-06,2502.5,2502.5,2502.5,2502.5,0.0,,
2022-01-07,2502.5,2502.5,2502.5,2502.5,0.0,,
2022-01-10,2505.0,2505.0,2502.5,2502.5,40.0,,
2022-01-11,2500.0,2500.0,2497.5,2500.0,220.0,,
2022-01-12,2512.5,2512.5,2512.5,2512.5,1.0,,
2022-01-13,2502.5,2502.5,2502.5,2502.5,0.0,,
2022-01-14,2502.5,2502.5,2502.5,2502.5,0.0,,
2022-01-18,2502.5,2502.5,2502.5,2502.5,0.0,,
2022-01-19,2502.5,2502.5,2502.5,2502.5,0.0,,
2022-01-20,2502.5,2502.5,2502.5,2502.5,0.0,,
2022-01-21,2502.5,2510.0,2502.5,2507.5,21.0,,
2022-01-24,2507.5,2511.25,2507.5,2507.5,15.0,,
2022-01-25,2505.0,2510.0,2505.0,2510.0,12.0,,
2022-01-26,2510.0,2510.0,2510.0,2510.0,0.0,,
2022-01-27,2505.0,2505.0,2505.0,2505.0,28.0,,
2022-01-28,2507.5,2507.5,2507.5,2507.5,0.0,,
2022-01-31,2505.0,2507.5,2502.5,2502.5,33.0,,
2022-02-01,2502.5,2515.0,2502.5,2510.0,404.0,,
2022-02-02,2510.0,2510.0,2510.0,2510.0,0.0,,
2022-02-03,2510.0,2515.0,2510.0,2515.0,104.0,,
2022-02-04,2515.0,2515.0,2515.0,2515.0,0.0,,
2022-02-07,2515.0,2515.0,2515.0,2515.0,0.0,,
2022-02-08,2515.0,2515.0,2515.0,2515.0,0.0,,
2022-02-09,2515.0,2515.0,2512.5,2515.0,291.0,,
2022-02-10,2515.0,2515.0,2515.0,2515.0,0.0,,
2022-02-11,2515.0,2515.0,2515.0,2515.0,123.0,,
2022-02-14,2515.0,2515.0,2515.0,2515.0,10.0,,
2022-02-15,2517.5,2517.5,2517.5,2517.5,4.0,,
2022-02-16,2515.25,2520.0,2515.0,2520.0,5.0,,
2022-02-17,2520.0,2520.0,2520.0,2520.0,0.0,,
2022-02-18,2520.0,2520.0,2520.0,2520.0,0.0,,
2022-02-22,2515.0,2517.5,2515.0,2517.5,4.0,,
2022-02-23,2517.5,2518.75,2517.5,2518.5,8.0,,
2022-02-24,2515.0,2515.0,2515.0,2515.0,650.0,,
2022-02-25,2517.5,2522.5,2517.5,2520.0,25.0,,
2022-02-28,2520.0,2520.0,2520.0,2520.0,0.0,,
2022-03-01,2517.5,2517.5,2517.5,2517.5,19.0,,
2022-03-02,2520.0,2522.5,2520.0,2522.5,31.0,,
2022-03-03,2521.25,2521.25,2517.5,2517.5,50.0,,
2022-03-04,2519.75,2525.0,2519.75,2525.0,35.0,,
2022-03-07,2517.5,2520.0,2517.5,2517.5,22.0,,
2022-03-08,2521.25,2522.5,2520.0,2522.5,21.0,,
2022-03-09,2522.5,2522.5,2522.5,2522.5,0.0,,
2022-03-10,2517.5,2525.0,2517.5,2525.0,35.0,,
2022-03-11,2522.5,2525.0,2522.5,2525.0,76.0,,
2022-03-14,2527.5,2527.5,2523.75,2525.0,39.0,,
2022-03-15,2525.0,2525.0,2525.0,2525.0,30.0,,
2022-03-16,2525.0,2525.0,2525.0,2525.0,2.0,,
2022-03-17,2522.5,2525.0,2522.5,2525.0,50.0,,
2022-03-18,2522.5,2527.5,2522.5,2527.5,28.0,,
2022-03-21,2527.5,2527.5,2527.5,2527.5,0.0,,
2022-03-22,2527.5,2527.5,2527.5,2527.5,0.0,,
2022-03-23,2527.5,2527.5,2527.5,2527.5,0.0,,
2022-03-24,2527.5,2527.5,2527.5,2527.5,0.0,,
2022-03-25,2527.5,2527.5,2527.5,2527.5,0.0,,
2022-03-28,2527.5,2527.5,2527.5,2527.5,17.0,,
2022-03-29,2527.5,2527.5,2526.25,2527.5,7.0,,
2022-03-30,2527.5,2527.5,2527.5,2527.5,1.0,,
2022-03-31,2525.0,2530.0,2525.0,2530.0,34.0,,
2022-04-01,2530.0,2530.0,2530.0,2530.0,10.0,,
2022-04-04,2530.0,2530.0,2528.75,2530.0,3.0,,
2022-04-05,2530.0,2530.0,2529.75,2530.0,2.0,,
2022-04-06,2525.0,2532.5,2525.0,2532.5,3.0,,
2022-04-07,2530.0,2537.5,2530.0,2532.5,60.0,,
2022-04-08,2535.0,2535.0,2535.0,2535.0,2.0,,
2022-04-11,2530.0,2532.5,2530.0,2530.0,6.0,,
2022-04-12,2530.0,2532.5,2530.0,2530.0,5.0,,
2022-04-13,2535.0,2535.0,2535.0,2535.0,2.0,,
2022-04-14,2535.0,2535.0,2535.0,2535.0,0.0,,
