Date,Open,High,Low,Close,Volume,SharesOutstanding,Turnover
2015-01-02,220.0,220.0,220.0,220.0,13.0,,
2015-01-05,220.0,220.0,220.0,220.0,0.0,,
2015-01-06,220.0,220.0,220.0,220.0,0.0,,
2015-01-07,220.0,220.0,220.0,220.0,0.0,,
2015-01-08,220.0,220.0,220.0,220.0,0.0,,
2015-01-09,220.0,220.0,220.0,220.0,6.0,,
2015-01-12,220.0,220.0,220.0,220.0,13.0,,
2015-01-13,220.0,220.0,220.0,220.0,0.0,,
2015-01-14,220.0,220.0,220.0,220.0,0.0,,
2015-01-15,220.0,220.0,220.0,220.0,0.0,,
2015-01-16,220.0,220.0,220.0,220.0,0.0,,
2015-01-20,220.0,220.0,220.0,220.0,0.0,,
2015-01-21,220.8000030517578,220.8000030517578,220.8000030517578,220.8000030517578,19.0,,
2015-01-22,220.8000030517578,220.8000030517578,220.8000030517578,220.8000030517578,0.0,,
2015-01-23,220.8000030517578,220.8000030517578,220.8000030517578,220.8000030517578,0.0,,
2015-01-26,220.8000030517578,220.8000030517578,220.8000030517578,220.8000030517578,0.0,,
2015-01-27,220.8000030517578,220.8000030517578,220.8000030517578,220.8000030517578,0.0,,
2015-01-28,220.8000030517578,220.8000030517578,220.8000030517578,220.8000030517578,0.0,,
2015-01-29,224.0,224.0,224.0,224.0,19.0,,
2015-01-30,224.0,224.0,224.0,224.0,0.0,,
2015-02-02,224.0,224.0,224.0,224.0,0.0,,
2015-02-03,224.0,224.0,224.0,224.0,0.0,,
2015-02-04,224.0,224.0,224.0,224.0,0.0,,
2015-02-05,224.0,224.0,224.0,224.0,0.0,,
2015-02-06,224.0,224.0,224.0,224.0,0.0,,
2015-02-09,224.0,224.0,224.0,224.0,0.0,,
2015-02-10,224.0,224.0,224.0,224.0,0.0,,
2015-02-11,224.0,228.0,224.0,228.0,113.0,,
2015-02-12,228.0,228.0,228.0,228.0,0.0,,
2015-02-13,228.0,228.0,228.0,228.0,0.0,,
2015-02-17,228.0,228.0,228.0,228.0,25.0,,
2015-02-18,240.0,240.0,240.0,240.0,63.0,,
2015-02-19,256.0,256.0,256.0,256.0,1.0,,
2015-02-20,256.0,256.0,256.0,256.0,0.0,,
2015-02-23,256.0,256.0,256.0,256.0,0.0,,
2015-02-24,256.0,256.0,256.0,256.0,0.0,,
2015-02-25,256.0,256.0,256.0,256.0,0.0,,
2015-02-26,260.0,260.0,260.0,260.0,4.0,,
2015-02-27,260.0,260.0,260.0,260.0,0.0,,
2015-03-02,260.0,260.0,260.0,260.0,0.0,,
2015-03-03,260.0,260.0,260.0,260.0,0.0,,
2015-03-04,260.0,260.0,260.0,260.0,0.0,,
2015-03-05,252.8000030517578,252.8000030517578,252.8000030517578,252.8000030517578,19.0,,
2015-03-06,252.8000030517578,252.8000030517578,252.8000030517578,252.8000030517578,0.0,,
2015-03-09,252.16000366210938,260.0,252.16000366210938,260.0,41.0,,
2015-03-10,256.0,256.0,256.0,256.0,3.0,,
2015-03-11,240.0,240.0,240.0,240.0,13.0,,
2015-03-12,240.0,240.0,240.0,240.0,0.0,,
2015-03-13,240.0,240.0,240.0,240.0,0.0,,
2015-03-16,240.0,240.0,240.0,240.0,0.0,,
2015-03-17,256.0,256.0,256.0,256.0,6.0,,
2015-03-18,256.0,256.0,256.0,256.0,0.0,,
2015-03-19,256.0,256.0,256.0,256.0,0.0,,
2015-03-20,256.0,256.0,256.0,256.0,0.0,,
2015-03-23,256.0,256.0,256.0,256.0,13.0,,
2015-03-24,256.0,256.0,256.0,256.0,0.0,,
2015-03-25,256.0,256.0,256.0,256.0,0.0,,
