Date,Open,High,Low,Close,Volume,SharesOutstanding,Turnover
2019-01-08,118.75,124.75,110.0,117.5,1388.0,,
2019-01-09,105.0,156.25,100.0,143.0,3888.0,,
2019-01-10,143.5,197.5,133.75,133.75,8944.0,,
2019-01-11,133.5,142.75,132.5,132.5,1288.0,,
2019-01-14,132.5,133.75,101.0,104.0,1924.0,,
2019-01-15,91.0,99.625,82.5,97.25,1492.0,,
2019-01-16,89.0,101.25,89.0,96.0,1896.0,,
2019-01-17,97.5,100.0,83.75,92.5,1512.0,,
2019-01-18,85.25,92.5,85.25,91.25,68.0,,
2019-01-22,88.75,92.5,87.5,92.5,64.0,,
2019-01-23,89.75,94.25,84.0,89.0,1272.0,,
2019-01-24,90.25,92.75,87.5,92.0,836.0,,
2019-01-25,91.75,91.75,83.75,83.75,344.0,,
2019-01-28,81.25,84.0,79.75,79.75,308.0,,
2019-01-29,79.75,82.5,77.0,79.75,688.0,,
2019-01-30,79.0,104.0,79.0,89.0,3704.0,,
2019-01-31,89.0,93.5,89.0,90.0,376.0,,
2019-02-01,90.0,123.5,90.0,116.1500015258789,9368.0,,
2019-02-04,176.0,185.0,122.9749984741211,128.25,23736.0,,
2019-02-05,128.5,137.64999389648438,101.0,101.0,2068.0,,
2019-02-06,102.5,107.9749984741211,101.25,103.25,264.0,,
2019-02-07,103.0,107.69999694824219,92.5,98.75,204.0,,
2019-02-08,98.75,102.1500015258789,95.0,95.9749984741211,156.0,,
2019-02-11,95.25,103.19999694824219,92.5,92.5,596.0,,
2019-02-12,90.25,101.75,90.25,95.4749984741211,188.0,,
2019-02-13,95.0,101.2750015258789,95.0,95.9749984741211,76.0,,
2019-02-14,96.25,100.25,96.25,96.5,244.0,,
2019-02-15,96.75,99.75,96.75,99.75,180.0,,
2019-02-19,102.5,102.5,101.25,101.25,324.0,,
2019-02-20,104.75,104.75,95.875,99.375,136.0,,
2019-02-21,96.25,99.75,95.0,96.92500305175781,264.0,,
2019-02-22,95.0,97.5,95.0,97.5,72.0,,
2019-02-25,103.25,113.75,97.5,100.25,732.0,,
2019-02-26,100.0,100.0,100.0,100.0,8.0,,
2019-02-27,99.75,101.75,97.75,97.75,200.0,,
2019-02-28,108.75,108.75,97.5,104.0,172.0,,
2019-03-01,102.92500305175781,102.92500305175781,101.5250015258789,102.5,64.0,,
2019-03-04,102.25,102.25,97.5,99.5,312.0,,
2019-03-05,105.0,124.9749984741211,104.5,106.69999694824219,2104.0,,
2019-03-06,108.5,111.75,102.75,103.25,732.0,,
2019-03-07,108.75,109.0,101.25,107.0,192.0,,
2019-03-08,106.0,106.25,97.5,98.0,352.0,,
2019-03-11,98.0,99.5,98.0,98.0,36.0,,
2019-03-12,93.0,97.5,92.75,93.75,692.0,,
2019-03-13,93.25,102.0,92.5,95.0,464.0,,
2019-03-14,93.75,94.4749984741211,93.4749984741211,94.4749984741211,36.0,,
2019-03-15,94.5,96.32499694824219,94.5,94.75,108.0,,
2019-03-18,93.0,93.69999694824219,92.7750015258789,92.7750015258789,100.0,,
